page,url,error,timestamp
91,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/91,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.665995
99,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/99,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.665995
98,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/98,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
93,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/93,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
97,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/97,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
96,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/96,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
95,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/95,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
86,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/86,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:21.674502
114,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/114,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.154669
107,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/107,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.154669
106,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/106,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.155689
116,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/116,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.169392
115,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/115,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.169392
120,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/120,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.200018
110,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/110,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.215541
111,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/111,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.216547
112,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/112,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:20:44.230754
123,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/123,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.626667
128,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/128,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.641804
125,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/125,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.644794
129,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/129,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.644794
137,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/137,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.656850
126,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/126,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.656850
136,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/136,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.672428
135,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/135,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.672428
140,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/140,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.673426
130,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/130,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:06.686624
